"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 07:34:20 IST 2024","Sun Jun 30 07:34:38 IST 2024","18153","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case5]",""
"passed","Sun Jun 30 08:02:56 IST 2024","Sun Jun 30 08:03:38 IST 2024","42302","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case51]",""
"passed","Sun Jun 30 07:42:56 IST 2024","Sun Jun 30 07:43:43 IST 2024","46523","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case21]",""
"passed","Sun Jun 30 07:51:30 IST 2024","Sun Jun 30 07:52:03 IST 2024","32951","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case34]",""
"passed","Sun Jun 30 07:34:02 IST 2024","Sun Jun 30 07:34:20 IST 2024","17561","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case4]",""
"passed","Sun Jun 30 07:57:31 IST 2024","Sun Jun 30 07:58:30 IST 2024","58680","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case43]",""
"passed","Sun Jun 30 08:16:29 IST 2024","Sun Jun 30 08:17:11 IST 2024","41968","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case70]",""
"passed","Sun Jun 30 07:58:30 IST 2024","Sun Jun 30 07:58:58 IST 2024","27589","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case44]",""
"passed","Sun Jun 30 08:19:11 IST 2024","Sun Jun 30 08:19:56 IST 2024","45352","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case74]",""
"passed","Sun Jun 30 08:21:03 IST 2024","Sun Jun 30 08:21:49 IST 2024","45822","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case77]",""
"passed","Sun Jun 30 07:58:58 IST 2024","Sun Jun 30 07:59:30 IST 2024","32669","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case45]",""
"passed","Sun Jun 30 07:35:31 IST 2024","Sun Jun 30 07:36:12 IST 2024","40493","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case7]",""
"passed","Sun Jun 30 08:07:29 IST 2024","Sun Jun 30 08:08:10 IST 2024","41556","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case58]",""
